quote,author
"
      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”
    ―
  
    Marilyn Monroe
  
","
    Marilyn Monroe
  "
"
      “Be yourself; everyone else is already taken.”
    ―
  
    Oscar Wilde
  
","
    Oscar Wilde
  "
"
      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
    ―
  
    Albert Einstein
  
","
    Albert Einstein
  "
"
      “So many books, so little time.”
    ―
  
    Frank Zappa
  
","
    Frank Zappa
  "
"
      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”
    ―
  
    Bernard M. Baruch
  
","
    Bernard M. Baruch
  "
"
      “A room without books is like a body without a soul.”
    ―
  
    Marcus Tullius Cicero
  
","
    Marcus Tullius Cicero
  "
"
      “You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”
    ―
  
    William W. Purkey
  
","
    William W. Purkey
  "
"
      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
    ―
  
    Dr. Seuss
  
","
    Dr. Seuss
  "
"
      “You only live once, but if you do it right, once is enough.”
    ―
  
    Mae West
  
","
    Mae West
  "
"
      “Be the change that you wish to see in the world.”
    ―
  
    Mahatma Gandhi
  
","
    Mahatma Gandhi
  "
"
      “In three words I can sum up everything I've learned about life: it goes on.”
    ―
  
    Robert Frost
  
","
    Robert Frost
  "
"
      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”
    ―
  
    J.K. Rowling,
  
    
      Harry Potter and the Goblet of Fire
    
    

  

//<![CDATA[  

  function submitShelfLink(unique_id, book_id, shelf_id, shelf_name, submit_form, exclusive) {
    var checkbox_id = 'shelf_name_' + unique_id + '_' + shelf_id;
    var element = document.getElementById(checkbox_id)

    var checked = element.checked
    if (checked && exclusive) {
      // can't uncheck a radio by clicking it!
      return
    }
    if(document.getElementById(""savingMessage"")){
      Element.show('savingMessage')
    }
    var element_id = 'shelfInDropdownName_' + unique_id + '_' + shelf_id;
    Element.update(element_id, ""saving..."");
    if (submit_form) {
      Element.hide('shelfDropdown_' + unique_id)
      var form = document.getElementById('addBookForm' + book_id)
      if (form) {
        form.shelf.value = shelf_name
        form.onsubmit()
      }
    }
    else {
      var action = checked ? 'remove' : ''
      element.checked = !element.checked
      new Ajax.Request('/shelf/add_to_shelf', {asynchronous:true, evalScripts:true, onSuccess:function(request){shelfSubmitted(request, book_id, checkbox_id, element_id, unique_id, shelf_name)}, parameters:'book_id=' + book_id + '&name=' + shelf_name + '&a=' + action + '&authenticity_token=' + encodeURIComponent('quT6cz+OMboFfhKcJ2vgt6avV5gY7uMrPSJHM6RwvMj+YHGd04gBL1Uks0SuYu0t1FJkGRbcKN02IRQcd6sFyA==')})
    }
  }

  function shelfSubmitted(request, book_id, checkbox_id, element_id, unique_id, shelf_name) {
    Element.update('shelfListfalse_' + book_id, request.responseText)
    afterShelfSave(checkbox_id, element_id, unique_id, shelf_name.escapeHTML())
  }

  function refreshGroupBox(group_id, book_id) {
    new Ajax.Updater('addGroupBooks' + book_id + '', '/group/add_book_box', {asynchronous:true, evalScripts:true, onSuccess:function(request){refreshGroupBoxComplete(request, book_id);}, parameters:'id=' + group_id + '&book_id=' + book_id + '&refresh=true' + '&authenticity_token=' + encodeURIComponent('tAGfhqrm2Z+wdW3rWw17GmREFCPdyWZQiHXjSB8K2cPghRRoRuDpCuAvzDPSBHaAFrknotP7raaDdrBnzNFgww==')})
  }
//]]>




//<![CDATA[
      var newTip = new Tip($('quote_book_link_6'), ""\n\n  <h2><a class=\""readable bookTitle\"" href=\""https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire?from_choice=false&amp;from_home_module=false\"">Harry Potter and the Goblet of Fire (Harry Potter, #4)<\/a><\/h2>\n\n      <div>\n        by <a class=\""authorName\"" href=\""/author/show/1077326.J_K_Rowling\"">J.K. Rowling<\/a>\n      <\/div>\n\n          <div class=\""smallText uitext darkGreyText\"">\n            <span class=\""minirating\""><span class=\""stars staticStars notranslate\""><span size=\""12x12\"" class=\""staticStar p10\""><\/span><span size=\""12x12\"" class=\""staticStar p10\""><\/span><span size=\""12x12\"" class=\""staticStar p10\""><\/span><span size=\""12x12\"" class=\""staticStar p10\""><\/span><span size=\""12x12\"" class=\""staticStar p6\""><\/span><\/span> 4.56 avg rating &mdash; 2,532,000 ratings<\/span>            &mdash; published 2000\n          <\/div>\n\n    <div class=\""addBookTipDescription\"">\n      \n<span id=\""freeTextContainer3556847737626601721\"">Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his<\/span>\n  <span id=\""freeText3556847737626601721\"" style=\""display:none\"">Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that\'s supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn\'t happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he\'s not normal - even by wizarding standards.And in his case, different can be deadly.<\/span>\n  <a data-text-id=\""3556847737626601721\"" href=\""#\"" onclick=\""swapContent(\$(this));; return false;\"">...more<\/a>\n\n    <\/div>\n\n      <div class=\'wtrButtonContainer wtrSignedOut\' id=\'1_book_6\'>\n<div class=\'wtrUp wtrLeft\'>\n<form action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""n8TLYTz8/wKcaCESmF3tyZVkXJ192vxEZCn3Rj0CarvLQECP0PrPl8wygMoRVOBT55lvHHPoN7JvKqRp7tnTuw==\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""6\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" value=\""to-read\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""1_book_6\"" />\n<input type=\""hidden\"" name=\""wtr_new\"" id=\""wtr_new\"" value=\""true\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""ref\"" id=\""ref\"" value=\""\"" class=\""wtrLeftUpRef\"" />\n<input type=\""hidden\"" name=\""existing_review\"" id=\""existing_review\"" value=\""false\"" class=\""wtrExisting\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" value=\""/quotes\"" />\n<button class=\'wtrToRead\' type=\'submit\'>\n<span class=\'progressTrigger\'>Want to Read<\/span>\n<span class=\'progressIndicator\'>saving…<\/span>\n<\/button>\n<\/form>\n\n<\/div>\n\n<div class=\'wtrRight wtrUp\'>\n<form class=\""hiddenShelfForm\"" action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""iFNtLybVrkBUwFcBl1tk6Fleq6i+LenCtO+HTBiwnr3c1+bBytOe1QSa9tkeUmlyK6OYKbAfIjS/7NRjy2snvQ==\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""1_book_6\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""6\"" />\n<input type=\""hidden\"" name=\""a\"" id=\""a\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" value=\""/quotes\"" />\n<\/form>\n\n<button class=\'wtrShelfButton\'><\/button>\n<div class=\'wtrShelfMenu\'>\n<ul class=\'wtrExclusiveShelves\'>\n<li><button class=\'wtrExclusiveShelf\' name=\'name\' type=\'submit\' value=\'to-read\'>\n<span class=\'progressTrigger\'>Want to Read<\/span>\n<img alt=\""saving…\"" class=\""progressIndicator\"" src=\""https://s.gr-assets.com/assets/loading-trans-ced157046184c3bc7c180ffbfc6825a4.gif\"" />\n<\/button>\n<\/li>\n<li><button class=\'wtrExclusiveShelf\' name=\'name\' type=\'submit\' value=\'currently-reading\'>\n<span class=\'progressTrigger\'>Currently Reading<\/span>\n<img alt=\""saving…\"" class=\""progressIndicator\"" src=\""https://s.gr-assets.com/assets/loading-trans-ced157046184c3bc7c180ffbfc6825a4.gif\"" />\n<\/button>\n<\/li>\n<li><button class=\'wtrExclusiveShelf\' name=\'name\' type=\'submit\' value=\'read\'>\n<span class=\'progressTrigger\'>Read<\/span>\n<img alt=\""saving…\"" class=\""progressIndicator\"" src=\""https://s.gr-assets.com/assets/loading-trans-ced157046184c3bc7c180ffbfc6825a4.gif\"" />\n<\/button>\n<\/li>\n<\/ul>\n<\/div>\n<\/div>\n\n<div class=\'ratingStars wtrRating\'>\n<div class=\'starsErrorTooltip hidden\'>\nError rating book. Refresh and try again.\n<\/div>\n<div class=\'myRating uitext greyText\'>Rate this book<\/div>\n<div class=\'clearRating uitext\'>Clear rating<\/div>\n<div class=\""stars\"" data-resource-id=\""6\"" data-user-id=\""0\"" data-submit-url=\""/review/rate/6?page_url=%2Fquotes&rate_books_page=false&stars_click=false&wtr_button_id=1_book_6\"" data-rating=\""0\""><a class=\""star off\"" title=\""did not like it\"" href=\""#\"" ref=\""\"">1 of 5 stars<\/a><a class=\""star off\"" title=\""it was ok\"" href=\""#\"" ref=\""\"">2 of 5 stars<\/a><a class=\""star off\"" title=\""liked it\"" href=\""#\"" ref=\""\"">3 of 5 stars<\/a><a class=\""star off\"" title=\""really liked it\"" href=\""#\"" ref=\""\"">4 of 5 stars<\/a><a class=\""star off\"" title=\""it was amazing\"" href=\""#\"" ref=\""\"">5 of 5 stars<\/a><\/div>\n<\/div>\n\n<\/div>\n\n\n\n\n"", { style: 'addbook', stem: 'leftMiddle', hook: { tip: 'leftMiddle', target: 'rightMiddle' }, offset: { x: 5, y: 0 }, hideOn: false, width: 400, hideAfter: 0.05, delay: 0.35 });
      $('quote_book_link_6').observe('prototip:shown', function() {
        if (this.up('#box')) {
          $$('div.prototip').each(function(i){i.setStyle({zIndex: $('box').getStyle('z-index')})});
        } else {
          $$('div.prototip').each(function(i){i.setStyle({zIndex: 6000})});
        }
      });

      newTip['wrapper'].addClassName('prototipAllowOverflow');

        $('quote_book_link_6').observe('prototip:shown', function () {
          $$('div.prototip').each(function (e) {
            if ($('quote_book_link_6').hasClassName('ignored')) {
              e.setStyle({'display': 'none'});
              return;
            }
            e.setStyle({'overflow': 'visible'});
          });
        });
      $('quote_book_link_6').observe('prototip:hidden', function () {
        $$('span.elementTwo').each(function (e) {
          if (e.getStyle('display') !== 'none') {
            var lessLink = e.next();
            swapContent(lessLink);
          }
        });
      });

//]]>


","
    J.K. Rowling,
  "
"
      “Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”
    ―
  
    Albert Camus
  
","
    Albert Camus
  "
"
      “No one can make you feel inferior without your consent.”
    ―
  
    Eleanor Roosevelt,
  
    
      This is My Story
    
    



//<![CDATA[
      var newTip = new Tip($('quote_book_link_5301304'), ""\n\n  <h2><a class=\""readable bookTitle\"" href=\""https://www.goodreads.com/book/show/5301304-this-is-my-story?from_choice=false&amp;from_home_module=false\"">This is My Story<\/a><\/h2>\n\n      <div>\n        by <a class=\""authorName\"" href=\""/author/show/44566.Eleanor_Roosevelt\"">Eleanor Roosevelt<\/a>\n      <\/div>\n\n          <div class=\""smallText uitext darkGreyText\"">\n            <span class=\""minirating\""><span class=\""stars staticStars notranslate\""><span size=\""12x12\"" class=\""staticStar p10\""><\/span><span size=\""12x12\"" class=\""staticStar p10\""><\/span><span size=\""12x12\"" class=\""staticStar p10\""><\/span><span size=\""12x12\"" class=\""staticStar p6\""><\/span><span size=\""12x12\"" class=\""staticStar p0\""><\/span><\/span> 3.91 avg rating &mdash; 113 ratings<\/span>            &mdash; published 1939\n          <\/div>\n\n\n      <div class=\'wtrButtonContainer wtrSignedOut\' id=\'2_book_5301304\'>\n<div class=\'wtrUp wtrLeft\'>\n<form action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""J2MyK7Y9swy9MfGKY1uyoQ0nqgAczJ+s9X++tuiAW9Bz57nFWjuDme1rUFLqUr87f9qZgRL+VFr+fO2ZO1vi0A==\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""5301304\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" value=\""to-read\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""2_book_5301304\"" />\n<input type=\""hidden\"" name=\""wtr_new\"" id=\""wtr_new\"" value=\""true\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""ref\"" id=\""ref\"" value=\""\"" class=\""wtrLeftUpRef\"" />\n<input type=\""hidden\"" name=\""existing_review\"" id=\""existing_review\"" value=\""false\"" class=\""wtrExisting\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" value=\""/quotes\"" />\n<button class=\'wtrToRead\' type=\'submit\'>\n<span class=\'progressTrigger\'>Want to Read<\/span>\n<span class=\'progressIndicator\'>saving…<\/span>\n<\/button>\n<\/form>\n\n<\/div>\n\n<div class=\'wtrRight wtrUp\'>\n<form class=\""hiddenShelfForm\"" action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""mqGrsB1o8+eQ3/qJR4RXFhB/mpUxxG1CoYJOFa3FgZPOJSBe8W7DcsCFW1HOjVqMYoKpFD/2prSqgR06fh44kw==\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""2_book_5301304\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""5301304\"" />\n<input type=\""hidden\"" name=\""a\"" id=\""a\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" value=\""/quotes\"" />\n<\/form>\n\n<button class=\'wtrShelfButton\'><\/button>\n<\/div>\n\n<div class=\'ratingStars wtrRating\'>\n<div class=\'starsErrorTooltip hidden\'>\nError rating book. Refresh and try again.\n<\/div>\n<div class=\'myRating uitext greyText\'>Rate this book<\/div>\n<div class=\'clearRating uitext\'>Clear rating<\/div>\n<div class=\""stars\"" data-resource-id=\""5301304\"" data-user-id=\""0\"" data-submit-url=\""/review/rate/5301304?page_url=%2Fquotes&rate_books_page=false&stars_click=false&wtr_button_id=2_book_5301304\"" data-rating=\""0\""><a class=\""star off\"" title=\""did not like it\"" href=\""#\"" ref=\""\"">1 of 5 stars<\/a><a class=\""star off\"" title=\""it was ok\"" href=\""#\"" ref=\""\"">2 of 5 stars<\/a><a class=\""star off\"" title=\""liked it\"" href=\""#\"" ref=\""\"">3 of 5 stars<\/a><a class=\""star off\"" title=\""really liked it\"" href=\""#\"" ref=\""\"">4 of 5 stars<\/a><a class=\""star off\"" title=\""it was amazing\"" href=\""#\"" ref=\""\"">5 of 5 stars<\/a><\/div>\n<\/div>\n\n<\/div>\n\n\n\n\n"", { style: 'addbook', stem: 'leftMiddle', hook: { tip: 'leftMiddle', target: 'rightMiddle' }, offset: { x: 5, y: 0 }, hideOn: false, width: 400, hideAfter: 0.05, delay: 0.35 });
      $('quote_book_link_5301304').observe('prototip:shown', function() {
        if (this.up('#box')) {
          $$('div.prototip').each(function(i){i.setStyle({zIndex: $('box').getStyle('z-index')})});
        } else {
          $$('div.prototip').each(function(i){i.setStyle({zIndex: 6000})});
        }
      });

      newTip['wrapper'].addClassName('prototipAllowOverflow');

        $('quote_book_link_5301304').observe('prototip:shown', function () {
          $$('div.prototip').each(function (e) {
            if ($('quote_book_link_5301304').hasClassName('ignored')) {
              e.setStyle({'display': 'none'});
              return;
            }
            e.setStyle({'overflow': 'visible'});
          });
        });
      $('quote_book_link_5301304').observe('prototip:hidden', function () {
        $$('span.elementTwo').each(function (e) {
          if (e.getStyle('display') !== 'none') {
            var lessLink = e.next();
            swapContent(lessLink);
          }
        });
      });

//]]>


","
    Eleanor Roosevelt,
  "
"
      “If you tell the truth, you don't have to remember anything.”
    ―
  
    Mark Twain
  
","
    Mark Twain
  "
"
      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”
    ―
  
    C.S. Lewis,
  
    
      The Four Loves
    
    



//<![CDATA[
